		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
600740	山西焦化			2017-12-18	71.95	330	-1.54	持有	70.84
000738	中航动控			2018-06-27	23.57	139	-1.65	持有	23.18
000895	双汇发展			2018-08-27	461.93	78	-1.67	持有	454.21
002556	辉隆股份			2018-09-21	25.95	53	-1.81	持有	25.48
600422	昆药集团			2018-08-14	74.22	91	-1.83	持有	72.86
300125	易世达			2018-11-02	41.62	11	-1.83	持有	40.86
600860	京城股份			2018-07-03	8.08	133	-1.86	持有	7.93
601100	恒立液压			2018-07-12	46.98	124	-1.87	持有	46.10
000338	潍柴动力			2018-08-28	143.94	77	-1.87	持有	141.25
000863	三湘股份			2018-09-21	24.20	53	-1.94	持有	23.73
002599	盛通股份			2018-09-07	20.96	67	-1.96	持有	20.55
002159	三特索道			2018-10-23	30.14	21	-1.99	持有	29.54
600513	联环药业			2018-08-23	41.75	82	-2.04	持有	40.90
600723	首商股份			2018-08-29	19.93	76	-2.06	持有	19.52
002389	南洋科技			2018-09-11	74.17	63	-2.08	持有	72.63
600810	神马股份			2018-11-02	39.57	11	-2.2	持有	38.70
002706	良信电器			2018-09-25	51.56	49	-2.31	持有	50.37
600862	中航高科			2018-09-04	44.53	70	-2.31	持有	43.50
300223	北京君正			2017-06-08	49.90	519	-2.34	持有	48.73
603808	歌力思			2018-08-24	35.04	81	-2.34	持有	34.22
002420	毅昌股份			2018-08-09	4.26	96	-2.35	持有	4.16
600585	海螺水泥			2018-11-02	150.97	11	-2.36	持有	147.41
603698	航天工程			2018-08-24	15.30	81	-2.42	持有	14.93
600831	广电网络			2018-08-27	36.35	78	-2.45	持有	35.46
002697	红旗连锁			2016-03-03	38.35	985	-2.48	持有	37.40
002003	伟星股份			2018-08-21	111.19	84	-2.48	持有	108.43
600201	生物股份			2018-05-04	281.08	193	-2.52	持有	274.00
300176	鸿特精密			2018-10-22	158.81	22	-2.56	持有	154.75
002020	京新药业			2018-08-20	98.83	85	-2.56	持有	96.30
601988	中国银行			2017-12-21	6.46	327	-2.63	持有	6.29
600845	宝信软件			2018-06-27	102.74	139	-2.66	持有	100.01
002698	博实股份			2017-12-11	17.91	337	-2.68	持有	17.43
002408	齐翔腾达			2018-02-23	76.19	112	-2.76	持有	74.09
000961	中南建设			2017-07-03	35.82	498	-2.76	持有	34.83
300325	德威新材			2018-09-19	33.13	55	-2.78	持有	32.21
002688	金河生物			2018-09-19	26.83	55	-2.8	持有	26.08
002069	*ST獐岛			2018-07-04	26.00	132	-2.81	持有	25.27
600358	国旅联合			2018-09-07	14.77	67	-2.84	持有	14.35
300380	安硕信息			2018-08-13	36.59	92	-2.87	持有	35.54
000756	新华制药			2018-08-22	13.17	83	-2.96	持有	12.78
300240	飞力达			2018-06-05	26.19	161	-2.98	持有	25.41
600055	DR华润万			2018-08-28	123.19	77	-3.04	持有	119.45
600655	豫园商城			2018-08-14	1830.11	91	-3.08	持有	1773.73
601799	星宇股份			2018-08-30	61.98	75	-3.1	持有	60.06
002488	金固股份			2018-09-19	41.72	55	-3.12	持有	40.42
600466	蓝光发展			2016-11-09	36.78	734	-3.13	持有	35.63
600557	康缘药业			2018-08-22	94.34	83	-3.18	持有	91.34
600725	*ST云维			2018-06-07	20.73	159	-3.18	持有	20.07
600737	中粮屯河			2018-10-08	85.49	36	-3.21	持有	82.75
600115	东方航空			2018-08-09	7.77	96	-3.22	持有	7.52
002142	宁波银行			2018-04-27	35.75	200	-3.3	持有	34.57
300417	南华仪器			2018-08-24	34.78	81	-3.31	持有	33.63
002120	新海股份			2018-08-24	118.80	81	-3.32	持有	114.85
300387	富邦股份			2018-08-29	25.48	76	-3.34	持有	24.63
300227	光韵达			2018-08-13	32.50	92	-3.35	持有	31.41
601016	节能风电			2018-09-14	5.61	60	-3.39	持有	5.42
